dateKind,dateName,isHoliday,locdate,seq
01,신정,Y,20100101,1
01,설날,Y,20100213,1
01,설날,Y,20100214,1
01,설날,Y,20100215,1
01,삼일절,Y,20100301,1
01,어린이날,Y,20100505,1
01,석가탄신일,Y,20100521,1
01,현충일,Y,20100606,1
01,광복절,Y,20100815,1
01,추석,Y,20100921,1
01,추석,Y,20100922,1
01,추석,Y,20100923,1
01,개천절,Y,20101003,1
01,기독탄신일,Y,20101225,1
