dateKind,dateName,isHoliday,locdate,seq
01,신정,Y,20110101,1
01,설날,Y,20110202,1
01,설날,Y,20110203,1
01,설날,Y,20110204,1
01,삼일절,Y,20110301,1
01,어린이날,Y,20110505,1
01,석가탄신일,Y,20110510,1
01,현충일,Y,20110606,1
01,광복절,Y,20110815,1
01,추석,Y,20110911,1
01,추석,Y,20110912,1
01,추석,Y,20110913,1
01,개천절,Y,20111003,1
01,기독탄신일,Y,20111225,1
